ID,Name,Number,Description,Status,Text,Sponsors,Votes
1299551,Nicotine Product Regulation,HB1001,"Concerning nicotine product regulations, and, in connection therewith, making an appropriation.",Passed,https://legiscan.com/CO/text/HB1001/id/2198623,"[20136, 20135, 19048, 3323]","[921854, 925968, 925969, 925970, 925971, 925972, 939781, 944787, 944943, 946767, 947762, 960290, 962073, 963123, 963235, 963236, 965916, 965917]"
1299535,College Credit For Work Experience,HB1002,Concerning a statewide plan for awarding college credit for work-related experience.,Passed,https://legiscan.com/CO/text/HB1002/id/2197314,"[18711, 20126, 16096, 20032]","[906953, 935368, 951329, 951748, 963052, 963332, 963652, 964238, 964533]"
1299644,Rural Jump-start Zone Act Modifications,HB1003,Concerning modifications to the rural jump-start zone act.,Passed,https://legiscan.com/CO/text/HB1003/id/2197322,"[19512, 20137, 16569, 10778]","[906233, 916445, 917515, 917516, 944823, 945393, 946479, 960408, 962112, 962113, 962986, 964993, 964994]"
1299620,Assistance Landowner Wildfire Mitigation,HB1004,Concerning wildfire mitigation assistance for landowners.,Intro,https://legiscan.com/CO/text/HB1004/id/2088138,"[20131, 21293, 10780]","[905713, 905714, 905990, 911697, 911698, 911699, 932266, 953278]"
1299507,Enhance Safe2tell,HB1005,"Concerning enhancements to the safe2tell program, and, in connection therewith, making an appropriation.",Failed,https://legiscan.com/CO/text/HB1005/id/2166121,"[18713, 16578, 11607, 16509]","[917642, 924391, 944786, 945802, 947189, 960714]"
1299558,Early Childhood Mental Health Consultants,HB1006,Concerning creation of a statewide program of early childhood mental health consultation.,Intro,https://legiscan.com/CO/text/HB1006/id/2088076,"[20025, 20024, 14279, 20032]","[905914, 914308, 914309]"
1299580,Diverse Kindergarten Through 12th Grade Educator Workforce Report,HB1007,"Concerning increasing the diversity of Colorado's educators in elementary and secondary public schools, and, in connection therewith, making an appropriation.",Failed,https://legiscan.com/CO/text/HB1007/id/2142006,"[18939, 20129, 11607, 16509]","[907045, 923424, 923425, 926540, 935886, 944457, 966040]"
1299459,Health Care Cost-sharing Consumer Protections,HB1008,Concerning protections for consumers who participate in health care cost-sharing arrangements.,Intro,https://legiscan.com/CO/text/HB1008/id/2087978,"[16573, 11607]","[926537, 935807, 935808, 935809, 938414, 938415]"
1299599,Suppressing Court Records Of Eviction Proceedings,HB1009,Concerning suppressing court records of eviction proceedings.,Passed,https://legiscan.com/CO/text/HB1009/id/2175924,"[18715, 16581]","[905144, 909888, 912801, 912802, 936360, 940684]"
1299442,Colorado Accurate Residence For Redistricting Act,HB1010,"Concerning the ""Colorado Accurate Residence for Redistricting Act"".",Passed,https://legiscan.com/CO/text/HB1010/id/2172016,"[20141, 18939, 20029, 16569]","[911899, 916262, 922357, 922358, 922359, 927289, 934114]"
