ID,Name,Party,Role,District
10773,Donald Coram,R,Sen,SD-006
10778,Ray Scott,R,Sen,SD-007
10780,Pete Lee,D,Sen,SD-011
10781,Angela Williams,D,Sen,SD-033
10783,James Wilson,R,Rep,HD-060
10788,Chris Holbert,R,Sen,SD-030
11607,Rhonda Fields,D,Sen,SD-029
13847,Jonathan Singer,D,Rep,HD-011
14265,Mike Foote,D,Sen,SD-017
14266,Leroy Garcia,D,Sen,SD-003
14268,Joann Ginal,D,Sen,SD-014
14269,Stephen Humphrey,R,Rep,HD-048
14270,Tracy Kraft-Tharp,D,Rep,HD-029
14271,Lois Landgraf,R,Rep,HD-021
14275,Jovan Melton,D,Rep,HD-041
14277,Dominick Moreno,D,Sen,SD-021
14279,Brittany Pettersen,D,Sen,SD-022
14281,Lori Saine,R,Rep,HD-063
14288,Owen Hill,R,Sen,SD-010
14293,Vicki Marble,R,Sen,SD-023
14807,Perry Buck,R,Rep,HD-049
14808,Larry Crowder,R,Sen,SD-035
15133,Thomas Exum,D,Rep,HD-017
15135,Robert Rankin,R,Sen,SD-008
16096,Rachel Zenzinger,D,Sen,SD-019
16509,Paul Lundeen,R,Sen,SD-009
16511,KC Becker,D,Rep,HD-013
16512,John Tate,R,Sen,SD-027
16513,John Cooke,R,Sen,SD-013
16567,Jennifer Arndt,D,Rep,HD-053
16568,Terri Carver,R,Rep,HD-020
16569,Kerry Donovan,D,Sen,SD-005
16570,Daneya Esgar,D,Rep,HD-046
16573,Susan Lontine,D,Rep,HD-001
16575,Patrick Neville,R,Rep,HD-045
16576,Kim Ransom,R,Rep,HD-044
16578,Kevin Van Winkle,R,Rep,HD-043
16581,Faith Winter,D,Sen,SD-024
16582,Alec Garnett,D,Rep,HD-002
16583,Jessie Danielson,D,Sen,SD-020
18710,Adrienne Benavidez,D,Rep,HD-032
18711,Barbara McLachlan,D,Rep,HD-059
18712,Chris Kennedy,D,Rep,HD-023
18713,Dafna Michaelson Jenet,D,Rep,HD-030
18714,Dave Williams,R,Rep,HD-015
18715,Dominique Jackson,D,Rep,HD-042
18716,Donald Valdez,D,Rep,HD-062
18718,Hugh McKean,R,Rep,HD-051
18719,Janet Buckner,D,Rep,HD-040
18721,Leslie Herod,D,Rep,HD-008
18722,Matt Gray,D,Rep,HD-033
18723,Michael Weissman,D,Rep,HD-036
18725,Susan Beckman,R,Rep,HD-038
18726,Bob Gardner,R,Sen,SD-012
18728,Jim Smallwood,R,Sen,SD-004
18729,Stephen Fenberg,D,Sen,SD-018
18939,James Coleman,D,Rep,HD-007
19048,Jeff Bridges,D,Sen,SD-026
19200,Marc Catlin,R,Rep,HD-058
19205,Chris Hansen,D,Sen,SD-031
19209,Edith Hooton,D,Rep,HD-010
19512,Dylan Roberts,D,Rep,HD-026
19536,Shane Sandridge,R,Rep,HD-014
20024,Emily Sirota,D,Rep,HD-009
20025,Julie McCluskie,D,Rep,HD-061
20026,Rod Pelton,R,Rep,HD-065
20027,Sonya Jaquez Lewis,D,Rep,HD-012
20028,Dennis Hisey,R,Sen,SD-002
20029,Julie Gonzales,D,Sen,SD-034
20030,Rob Woodward,R,Sen,SD-015
20031,Robert Rodriguez,D,Sen,SD-032
20032,Tammy Story,D,Sen,SD-016
20126,Mark Baisley,R,Rep,HD-039
20127,Shannon Bird,D,Rep,HD-035
20128,Rod Bockenfeld,R,Rep,HD-056
20129,Bri Buentello,D,Rep,HD-047
20130,Yadira Caraveo,D,Rep,HD-031
20131,Lisa Cutter,D,Rep,HD-025
20133,Tim Geitner,R,Rep,HD-019
20134,Serena Gonzales-Gutierrez,D,Rep,HD-004
20135,Colin Larson,R,Rep,HD-022
20136,Kyle Mullica,D,Rep,HD-034
20137,Janice Rich,R,Rep,HD-055
20138,Marc Snyder,D,Rep,HD-018
20139,Matt Soper,R,Rep,HD-054
20140,Tom Sullivan,D,Rep,HD-037
20141,Kerry Tipper,D,Rep,HD-028
20142,Brianna Titone,D,Rep,HD-027
20143,Alex Valdez,D,Rep,HD-005
20148,Monica Duran,D,Rep,HD-024
20159,Cathy Kipp,D,Rep,HD-052
20739,Meg Froelich,D,Rep,HD-003
21293,Perry Will,R,Rep,HD-057
21455,Mary Young,D,Rep,HD-050
21496,Richard Holtorf,R,Rep,HD-064
21549,Steven Woodrow,D,Rep,HD-006
21604,Richard Champion,R,Rep,HD-038
3301,Lois Court,D,Sen,SD-031
3312,Nancy Todd,D,Sen,SD-028
3323,Kevin Priola,R,Sen,SD-025
3329,Larry Liston,R,Rep,HD-016
3343,Jerry Sonnenberg,R,Sen,SD-001
