ID,Bill ID,Description,Passed,Votes
903331,1299612,"House State, Veterans, & Military Affairs: Refer House Bill 20-1036 to the Committee of the Whole.",True,"[(14269, 'Yea'), (16573, 'Yea'), (18712, 'Yea'), (18714, 'Yea'), (20024, 'Yea'), (20027, 'Yea'), (20137, 'Yea'), (20148, 'Absent'), (20159, 'Yea')]"
903370,1299570,"House State, Veterans, & Military Affairs: Refer House Bill 20-1021 to the Committee of the Whole.",True,"[(14269, 'Yea'), (16573, 'Yea'), (18712, 'Yea'), (18714, 'Yea'), (20024, 'Yea'), (20027, 'Yea'), (20137, 'Yea'), (20148, 'Absent'), (20159, 'Yea')]"
903416,1299603,"House State, Veterans, & Military Affairs: Refer House Bill 20-1051 to the Committee of the Whole.",True,"[(14269, 'Yea'), (16573, 'Yea'), (18712, 'Yea'), (18714, 'Yea'), (20024, 'Yea'), (20027, 'Yea'), (20137, 'Yea'), (20148, 'Absent'), (20159, 'Yea')]"
903812,1299547,"House Business Affairs & Labor: Refer House Bill 20-1022, as amended, to the Committee on Appropriations.",True,"[(14270, 'Yea'), (16567, 'Yea'), (16578, 'Yea'), (18714, 'Yea'), (18718, 'Yea'), (18939, 'Yea'), (19536, 'Nay'), (20127, 'Yea'), (20138, 'Yea'), (20140, 'Yea'), (20148, 'Yea')]"
903850,1299584,"House Business Affairs & Labor: Refer House Bill 20-1023, as amended, to the Committee of the Whole.",True,"[(14270, 'Yea'), (16567, 'Yea'), (16578, 'Yea'), (18714, 'Yea'), (18718, 'Yea'), (18939, 'Yea'), (19536, 'Nay'), (20127, 'Yea'), (20138, 'Yea'), (20140, 'Yea'), (20148, 'Yea')]"
903851,1299584,House Business Affairs & Labor: Adopt amendment L.001,False,"[(14270, 'NV'), (16567, 'NV'), (16578, 'NV'), (18714, 'NV'), (18718, 'NV'), (18939, 'NV'), (19536, 'NV'), (20127, 'NV'), (20138, 'NV'), (20140, 'NV'), (20148, 'NV')]"
904382,1299140,"Senate Education: Refer Senate Bill 20-006, as amended, to the Committee on Appropriations.",True,"[(3312, 'Yea'), (14288, 'Yea'), (16509, 'Yea'), (19048, 'Yea'), (20032, 'Yea')]"
904393,1299547,"House Business Affairs & Labor: Refer House Bill 20-1022, as amended, to the Committee on Appropriations.",True,"[(14270, 'Yea'), (16567, 'Yea'), (16578, 'Yea'), (18714, 'Yea'), (18718, 'Yea'), (18939, 'Yea'), (19536, 'Nay'), (20127, 'Yea'), (20138, 'Yea'), (20140, 'Yea'), (20148, 'Yea')]"
904406,1301516,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 20-071 to the Committee of the Whole.",True,"[(3312, 'Yea'), (3343, 'Yea'), (11607, 'Yea'), (14265, 'Yea'), (14293, 'Yea')]"
904465,1301665,"Senate Education: Refer Senate Bill 20-073, as amended, to the Committee on Appropriations.",True,"[(3312, 'Yea'), (14288, 'Nay'), (16509, 'Nay'), (19048, 'Yea'), (20032, 'Yea')]"
904492,1299483,House Transportation & Local Government: Refer House Bill 20-1030 to the Committee on Finance.,True,"[(10783, 'Yea'), (14269, 'Yea'), (14275, 'Yea'), (15133, 'Yea'), (16568, 'Yea'), (18716, 'Yea'), (18722, 'Yea'), (19200, 'Absent'), (19209, 'Absent'), (20143, 'Yea'), (20739, 'Yea')]"
904522,1299092,Senate Judiciary: Refer Senate Bill 20-062 to the Committee of the Whole and with a recommendation that it be placed on the consent calendar.,True,"[(10780, 'Yea'), (16513, 'Yea'), (18726, 'Yea'), (20029, 'Yea'), (20031, 'Yea')]"
904539,1299539,House Health & Insurance: Postpone House Bill 20-1076 indefinitely.,True,"[(16573, 'Yea'), (18715, 'Absent'), (18719, 'Yea'), (20126, 'Yea'), (20130, 'Yea'), (20136, 'Yea'), (20139, 'Yea'), (20141, 'Yea'), (20142, 'Yea'), (21293, 'Yea')]"
904551,1299171,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 20-034 to the Committee of the Whole and with a recommendation that it be placed on the consent calendar.",True,"[(3312, 'Yea'), (3343, 'Yea'), (11607, 'Yea'), (14265, 'Yea'), (14293, 'Yea')]"
904608,1301498,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 20-069 to the Committee of the Whole and with a recommendation that it be placed on the consent calendar.",True,"[(3312, 'Yea'), (3343, 'Yea'), (11607, 'Yea'), (14265, 'Yea'), (14293, 'Yea')]"
904610,1299085,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 20-041 to the Committee on Appropriations.",True,"[(3312, 'Yea'), (3343, 'Yea'), (11607, 'Yea'), (14265, 'Yea'), (14293, 'Yea')]"
904831,1299500,House Health & Insurance: Refer House Bill 20-1056 to the Committee of the Whole.,True,"[(16573, 'Yea'), (18715, 'Absent'), (18719, 'Yea'), (20126, 'Yea'), (20130, 'Yea'), (20136, 'Yea'), (20139, 'Yea'), (20141, 'Yea'), (20142, 'Yea'), (21293, 'Yea')]"
